system_time, x, y, z 
39.523,-0.074777,0.143452,-0.0663956
39.641,-0.0742139,0.13934,-0.0691845
39.762,-0.0737505,0.134461,-0.0718668
39.883,-0.0733513,0.128986,-0.0744372
40.007,-0.0729068,0.122993,-0.0771957
40.128,-0.0741103,0.118536,-0.0799338
40.247,-0.0787669,0.117609,-0.0817677
40.365,-0.0838662,0.118342,-0.082738
40.487,-0.0870255,0.11917,-0.0835863
40.606,-0.0931532,0.122353,-0.0843077
40.725,-0.103137,0.128656,-0.085664
40.845,-0.110541,0.136432,-0.0878637
40.966,-0.113869,0.144326,-0.0885088
41.083,-0.115326,0.151844,-0.0855675
41.202,-0.115364,0.160064,-0.079817
41.32,-0.110505,0.16693,-0.0703529
41.439,-0.102355,0.173642,-0.0598932
41.561,-0.0925088,0.180264,-0.0534467
41.679,-0.0824613,0.1867,-0.0553212
41.802,-0.0713497,0.194722,-0.0616306
41.918,-0.0595583,0.203282,-0.069027
42.038,-0.0461396,0.211741,-0.0750875
42.157,-0.0321545,0.220112,-0.0783793
42.281,-0.017787,0.228885,-0.07842
42.401,-0.00364128,0.235548,-0.0767486
42.521,0.00953715,0.24074,-0.0743915
42.642,0.020894,0.24548,-0.07366
42.765,0.029057,0.250143,-0.0738073
42.885,0.0302194,0.252398,-0.0742036
43.006,0.0232649,0.250846,-0.0734263
43.126,0.0102161,0.245149,-0.07207
43.247,-0.00732215,0.234901,-0.0699465
43.367,-0.0279016,0.222206,-0.0666547
43.487,-0.0499877,0.209223,-0.0621081
43.608,-0.0713287,0.195362,-0.0571602
43.726,-0.0899717,0.181573,-0.0530758
43.847,-0.106285,0.167642,-0.0503631
43.966,-0.12002,0.154841,-0.0493624
44.088,-0.131316,0.142559,-0.0496519
44.207,-0.140781,0.131245,-0.0512369
44.325,-0.1496,0.120157,-0.0524104
44.448,-0.157585,0.108108,-0.0534264
44.571,-0.163237,0.0964307,-0.0552399
44.693,-0.161891,0.0904272,-0.0585978
44.814,-0.16165,0.0895219,-0.0628904
44.937,-0.162928,0.0943512,-0.0656387
45.055,-0.163211,0.103987,-0.0636016
45.175,-0.156683,0.115166,-0.0577444
45.301,-0.144946,0.13046,-0.0496722
45.417,-0.12999,0.147328,-0.0444652
