time, x, y, z, visx, visy, visz, mov_angle, nail_angle, fx, fy, fz, score, scoring_enabled
2.146,-0.0117216,0.0500886,-0.134178,-0.0313319,-0.0998731,-0.135362,0,130,33.3936,1.71824,-34.0298,0,0
2.169,-0.00475238,0.0513928,-0.132761,-0.022144,-0.0980058,-0.135362,0,130,16.9385,-0.576673,-27.8531,0,0
2.191,0.00529046,0.0528978,-0.130988,-0.00890391,-0.0958509,-0.135362,0,130,-2.89789,0.290015,-39.3277,0,0
2.211,0.016041,0.0545669,-0.129362,0.00526918,-0.093461,-0.135362,0,130,-14.1284,-2.63968,-29.5376,0,1
2.229,0.0231304,0.0557332,-0.128082,0.0146156,-0.0917911,-0.135362,0,130,-22.3803,-1.79738,-36.1538,0,1
2.247,0.0278384,0.0567594,-0.127142,0.0208224,-0.0903218,-0.135362,0,130,-37.7734,-1.85842,-44.5767,0,1
2.266,0.0294286,0.0575519,-0.127127,0.0229189,-0.089187,-0.135362,0,130,-43.6083,-3.59182,-52.1695,0,1
2.283,0.0278645,0.0580696,-0.128478,0.0208568,-0.0884458,-0.135362,0,130,-32.3168,-3.25002,-54.0493,0,1
2.301,0.0232301,0.0581968,-0.130195,0.014747,-0.0882637,-0.135362,0,130,-31.2304,-7.42483,-43.3072,0,0
2.319,0.016836,0.0580086,-0.132034,0.00631728,-0.0885331,-0.135362,177.923,130,-13.8476,-4.64162,-54.6353,0,0
2.336,0.00917218,0.057607,-0.133726,-0.0037864,-0.0891082,-0.135362,181.418,130,-5.27827,-3.31105,-44.7232,0,0
2.354,0.00068849,0.0569478,-0.135484,-0.014971,-0.090052,-0.135362,183.171,130,4.939,-1.74855,-52.4136,0,0
2.372,-0.00697629,0.0561903,-0.135468,-0.0250759,-0.0911366,-0.135362,184.367,130,20.3443,1.33982,-47.1402,0,0
2.393,-0.0134425,0.0555034,-0.135133,-0.0336007,-0.0921201,-0.135362,185.314,130,33.2715,4.74559,-41.8179,0,0
2.413,-0.0171351,0.0549745,-0.135062,-0.0384689,-0.0928774,-0.135362,186.318,130,40.4981,4.12302,-26.2417,0,0
2.43,-0.0169807,0.0548304,-0.134539,-0.0382653,-0.0930837,-0.135362,187.741,130,39.2652,5.57566,-23.0923,0,0
2.447,-0.0136968,0.0550864,-0.133533,-0.033936,-0.0927172,-0.135362,0,130,31.5503,2.64597,-29.3911,0,0
2.465,-0.0080713,0.0555675,-0.132491,-0.0265195,-0.0920283,-0.135362,0,130,15.3638,5.9907,-29.9771,0,0
2.482,-0.00120882,0.0563213,-0.13144,-0.0174723,-0.090949,-0.135362,0,130,7.07524,4.67234,-37.0572,0,0
2.5,0.00616194,0.0573272,-0.130399,-0.00775499,-0.0895088,-0.135362,0,130,-4.17965,-1.43117,-26.0952,0,0
2.517,0.0131874,0.0583122,-0.129113,0.00150711,-0.0880984,-0.135362,0,130,-15.9594,-1.89503,-37.3501,0,1
2.534,0.0187242,0.0591683,-0.128021,0.00880661,-0.0868727,-0.135362,0,130,-27.8125,-2.92041,-40.0845,0,1
2.551,0.0223289,0.0598843,-0.127447,0.0135589,-0.0858475,-0.135362,0,130,-33.1958,-3.20117,-44.479,0,1
2.569,0.0235821,0.0604144,-0.127701,0.0152111,-0.0850885,-0.135362,0,130,-34.7583,-3.92139,-46.8228,0,1
2.587,0.0223017,0.0606522,-0.129154,0.013523,-0.084748,-0.135362,0,130,-31.1328,-6.75342,-53.6587,0,1
2.604,0.0185088,0.060372,-0.130805,0.00852263,-0.0851492,-0.135362,0,130,-25.9936,-6.44825,-46.6763,0,0
2.621,0.0131925,0.0596472,-0.132583,0.00151383,-0.086187,-0.135362,184.223,130,-12.2973,-5.86231,-51.1441,0,0
2.638,0.00643314,0.0584878,-0.134275,-0.00739745,-0.087847,-0.135362,187.767,130,-8.36667,-5.80127,-47.2134,0,0
2.656,-0.0012351,0.0569131,-0.135555,-0.017507,-0.0901017,-0.135362,189.937,130,-7.53659,-0.698733,-65.4019,0,0
2.673,-0.00842253,0.0554182,-0.135407,-0.0269826,-0.0922421,-0.135362,191.07,130,9.93167,-0.613284,-47.7261,0,0
2.69,-0.0148635,0.0541428,-0.135174,-0.0354741,-0.0940683,-0.135362,191.531,130,26.5821,7.74853,-45.2603,0,0
2.708,-0.0196837,0.0532713,-0.135128,-0.0418289,-0.0953161,-0.135362,191.167,130,34.065,8.35888,-33.2486,0,0
2.725,-0.0218311,0.0529552,-0.134844,-0.0446599,-0.0957687,-0.135362,190.409,130,37.0679,9.46972,-26.437,0,0
2.742,-0.0213674,0.0532446,-0.134229,-0.0440486,-0.0953543,-0.135362,187.863,130,37.7393,6.125,-38.0093,0,0
2.761,-0.0178752,0.0541499,-0.133568,-0.0394446,-0.0940581,-0.135362,0,130,25.0806,4.24511,-29.7329,0,0
